15 6833 25833
1 199 0.231079 0.109779
0 200 0.266735 0.158073
1 200 0.277533 0.115892
0 201 0.241266 0.159092
1 201 0.251861 0.113447
0 202 0.300353 0.159092
1 202 0.307484 0.10713
0 203 -0.0562054 0.162149
1 203 -0.0390905 0.117115
0 204 0.261641 0.163167
1 204 0.273866 0.121394
0 205 -0.0714865 0.164186
1 205 -0.0525773 0.129182
0 206 0.0477059 0.166224
1 206 0.058912 0.111205
0 207 0.0538183 0.166224
1 207 0.0650245 0.111205
0 208 0.25451 0.167243
1 208 0.265716 0.126488
0 209 0.0507621 0.170299
1 209 0.0619682 0.1163
0 210 0.217835 0.170299
1 210 0.227411 0.122005
0 211 0.22191 0.170299
1 211 0.231079 0.123228
0 212 0.250435 0.170299
1 212 0.26266 0.128526
0 213 0.363515 0.170299
1 213 0.370646 0.120375
0 214 0.0477059 0.171318
1 214 0.058912 0.117319
0 215 0.0548371 0.172337
1 215 0.0660432 0.118337
0 213 0.365552 0.172337
0 216 0.12513 0.173356
1 216 0.128186 0.101017
0 217 -0.0704677 0.174375
1 217 -0.0525379 0.130564
0 218 -0.0612991 0.175394
1 218 -0.0439805 0.130564
0 219 0.36759 0.175394
1 219 0.372683 0.123432
0 220 -0.0612991 0.181507
1 220 -0.0439805 0.136677
0 221 0.338046 0.185582
1 221 0.34314 0.132602
0 222 -0.0623178 0.186601
1 222 -0.0449993 0.14279
0 223 0.0527996 0.18762
1 223 0.0640057 0.134639
0 224 0.341102 0.188639
1 224 0.345992 0.134232
0 225 -0.0592616 0.189658
1 225 -0.0419431 0.145847
0 226 -0.0134184 0.189658
1 226 -0.00119353 0.138715
0 227 0.0568745 0.190677
1 227 0.0680807 0.137696
0 228 0.216816 0.190677
1 228 0.227004 0.144828
0 229 -0.0541679 0.191696
1 229 -0.0366456 0.148903
0 230 0.216816 0.192714
1 230 0.227004 0.147884
0 231 -0.0582429 0.193733
1 231 -0.0419431 0.148903
0 232 0.383889 0.193733
1 232 0.387801 0.139122
0 233 -0.0531492 0.195771
1 233 -0.0368494 0.150941
0 234 -0.0551866 0.19679
1 234 -0.0378681 0.153998
0 235 0.384908 0.19679
1 235 0.388983 0.143809
0 236 -0.0154559 0.20596
1 236 -0.00119353 0.157462
0 237 0.199498 0.20596
1 237 0.208667 0.16113
0 238 0.239229 0.206978
1 238 0.250639 0.167243
0 239 0.0507621 0.207997
1 239 0.0619682 0.156035
0 240 0.107811 0.207997
1 240 0.110053 0.130564
0 237 0.199498 0.207997
0 241 0.361477 0.207997
1 241 0.36759 0.155017
0 242 0.058912 0.209016
1 242 0.0697107 0.157462
0 241 0.363515 0.209016
0 243 0.233116 0.211054
1 243 0.243304 0.170911
0 244 0.240247 0.211054
1 244 0.251454 0.171318
0 245 0.211723 0.212073
1 245 0.220891 0.167243
0 246 0.0263124 0.213092
1 246 0.0385373 0.162149
0 247 0.207648 0.213092
1 247 0.217835 0.167243
0 248 0.231079 0.217167
1 248 0.24257 0.177268
0 249 0.0558558 0.226337
1 249 0.0670619 0.174375
0 250 0.0578933 0.230412
1 250 0.0690994 0.180488
0 251 -0.0429618 0.231431
1 251 -0.026662 0.188639
0 252 0.0599308 0.23245
1 252 0.0711369 0.181507
0 253 0.19746 0.234488
1 253 0.206629 0.190473
0 115 -0.0409243 0.235507
0 254 0.175048 0.236525
1 254 0.184624 0.18925
0 255 0.196442 0.248752
1 255 0.205407 0.205145
0 256 -0.0419431 0.249771
1 256 -0.0256432 0.209016
0 257 -0.00526848 0.25079
1 257 0.0085864 0.205145
0 258 0.196442 0.255884
1 258 0.206629 0.213092
0 259 0.192367 0.256903
1 259 0.202554 0.214111
0 260 0.058912 0.259959
1 260 0.0701181 0.211054
0 261 0.18931 0.259959
1 261 0.199294 0.216148
0 262 -0.0327744 0.261997
1 262 -0.0174933 0.220224
0 263 0.369627 0.264035
1 263 0.374721 0.214111
0 264 -0.0276807 0.265054
1 264 -0.0121959 0.223484
0 265 0.0599308 0.266072
1 265 0.0709332 0.217371
0 266 -0.0246245 0.26811
1 266 -0.0123996 0.224299
0 267 0.416489 0.269129
1 267 0.420075 0.215415
0 268 0.368608 0.270148
1 268 0.373702 0.219205
0 269 0.37574 0.270148
1 269 0.380833 0.219205
0 270 0.406302 0.270148
1 270 0.410377 0.217167
0 271 0.378796 0.272186
1 271 0.382667 0.219816
0 272 0.412414 0.272186
1 272 0.415674 0.216148
0 273 0.204592 0.273204
1 273 0.216409 0.233265
0 274 -0.00832469 0.275242
1 274 0.00593764 0.231431
0 275 0.00390016 0.279318
1 275 0.0171438 0.235507
0 276 -0.00221227 0.280337
1 276 0.0120501 0.237544
0 277 0.000843949 0.280337
1 277 0.0140875 0.236525
0 278 0.182179 0.284412
1 278 0.192367 0.243658
0 279 0.185236 0.285431
1 279 0.195627 0.243046
0 280 0.0640057 0.293582
1 280 0.0746006 0.246714
0 281 0.184217 0.302751
1 281 0.19416 0.265298
0 282 0.0049189 0.305808
1 282 0.0181625 0.263016
0 283 0.00899385 0.307846
1 283 0.0208113 0.262608
0 284 0.0100126 0.311921
1 284 0.0220338 0.269944
0 285 0.169954 0.311921
1 285 0.181161 0.272186
0 286 0.0660432 0.317016
1 286 0.0772493 0.272186
0 287 0.0670619 0.321091
1 287 0.078268 0.27728
0 0 0.253084 -0.35849
0 288 -0.0941024 -0.326701
1 288 -0.0647628 -0.353599
0 2 -0.0806551 -0.315698
0 289 -0.261583 -0.314475
1 289 -0.227353 -0.35849
0 290 -0.0953249 -0.307139
1 290 -0.0672077 -0.33526
0 291 0.523253 -0.304694
1 291 0.534663 -0.339131
0 292 -0.0757651 -0.301026
1 292 -0.0464255 -0.329147
0 292 -0.0745426 -0.298581
0 293 -0.253026 -0.297358
1 293 -0.219529 -0.342107
0 5 -0.240801 -0.297358
0 6 -0.253026 -0.292468
0 294 -0.0843225 -0.292468
1 294 -0.0562054 -0.323033
0 295 -0.221241 -0.282687
1 295 -0.189456 -0.326701
0 296 -0.240801 -0.280241
1 296 -0.210728 -0.327435
0 8 -0.235911 -0.280241
0 11 0.482911 -0.279019
0 297 -0.227353 -0.277796
1 297 -0.195569 -0.324256
0 298 -0.222463 -0.277796
1 298 -0.190679 -0.323033
0 299 -0.240801 -0.276573
1 299 -0.209016 -0.32283
0 12 0.479243 -0.276573
0 13 0.476798 -0.274128
0 300 -0.212684 -0.27046
1 300 -0.182121 -0.315698
0 301 -0.204126 -0.268015
1 301 -0.173564 -0.31203
0 302 -0.199236 -0.26557
1 302 -0.169897 -0.309584
0 303 -0.047648 -0.26557
1 303 -0.0219757 -0.297358
0 304 -0.224908 -0.264347
1 304 -0.195569 -0.310807
0 18 0.451126 -0.260679
0 19 0.454794 -0.260679
0 305 -0.210239 -0.252121
1 305 -0.180899 -0.298581
0 306 -0.0170858 -0.252121
1 306 0.0073639 -0.283909
0 22 0.429121 -0.250898
0 307 -0.212684 -0.249675
1 307 -0.184566 -0.297358
0 25 -0.190679 -0.246007
0 308 -0.174786 -0.246007
1 308 -0.146669 -0.290022
0 309 -0.0342006 -0.246007
1 309 -0.00852839 -0.279019
0 310 -0.0317557 -0.243562
1 310 -0.00730596 -0.276573
0 311 -0.180899 -0.236226
1 311 -0.154004 -0.282687
0 312 -0.166229 -0.235004
1 312 -0.138723 -0.278
0 32 0.394892 -0.235004
0 33 0.00247397 -0.230113
0 313 -0.191901 -0.226445
1 313 -0.165251 -0.27315
0 314 -0.180899 -0.225223
1 314 -0.154004 -0.272905
0 315 -0.185789 -0.224
1 315 -0.158894 -0.271683
0 316 -0.190679 -0.221555
1 316 -0.162154 -0.267811
0 317 0.0159213 -0.215442
1 317 0.0386595 -0.248208
0 318 -0.156449 -0.214219
1 318 -0.130573 -0.25966
0 317 0.0195888 -0.208106
0 319 -0.168674 -0.205661
1 319 -0.141779 -0.252528
0 37 0.0208113 -0.205661
