11 9064 37485
1 197 -0.0728756 0.123608
0 198 0.0537554 0.0724561
1 198 0.169459 0.0842274
0 199 0.0591121 0.0724561
1 199 0.203517 0.0773684
0 200 0.210169 0.0724561
1 200 0.328016 0.062825
0 201 0.0623261 0.0745963
1 201 0.183386 0.0852975
0 202 0.078396 0.0745963
1 202 0.203741 0.0820872
0 203 0.184458 0.0745963
1 203 0.308732 0.0681756
0 204 0.203741 0.0745963
1 204 0.324802 0.0660353
0 205 -0.516191 0.0756664
1 205 -0.447626 0.169837
0 206 -0.425128 0.0767365
1 206 -0.351207 0.158066
0 207 0.155532 0.0767365
1 207 0.281948 0.0735262
0 208 0.0462561 0.0778067
1 208 0.164102 0.0906481
0 209 0.0526841 0.0778067
1 209 0.170102 0.0902201
0 210 0.142676 0.0778067
1 210 0.269093 0.0767365
0 211 0.168388 0.0778067
1 211 0.293733 0.0724561
0 212 0.208027 0.0778067
1 212 0.0218867 0.147755
0 213 0.0708967 0.0788768
1 213 0.193242 0.0876518
0 214 0.078396 0.0788768
1 214 0.20267 0.0863676
0 215 0.084824 0.0788768
1 215 0.210169 0.0852975
0 216 0.0730394 0.0799469
1 216 0.196242 0.0874378
0 217 0.184458 0.0799469
1 217 0.30766 0.0724561
0 218 0.220883 0.0799469
1 218 0.336586 0.0692457
0 219 -0.427271 0.0820872
1 219 -0.352278 0.163416
0 220 0.0837527 0.0820872
1 220 0.208027 0.0885079
0 221 0.130891 0.0820872
1 221 0.258379 0.0820872
0 222 0.0655401 0.0831573
1 222 0.186814 0.0927884
0 223 0.169459 0.0831573
1 223 0.293733 0.0767365
0 224 -0.385489 0.0842274
1 224 -0.307282 0.160206
0 225 0.0494701 0.0842274
1 225 0.166245 0.0953567
0 226 0.0623261 0.0842274
1 226 0.182315 0.0927884
0 227 0.141604 0.0842274
1 227 0.269093 0.0820872
0 228 -0.425128 0.0852975
1 228 -0.349064 0.166627
0 229 0.0644687 0.0852975
1 229 0.185529 0.0949286
0 230 0.0708967 0.0852975
1 230 0.1941 0.0938585
0 231 0.119107 0.0852975
1 231 0.245523 0.0863676
0 232 0.184458 0.0852975
1 232 0.30766 0.0778067
0 233 0.078396 0.0874378
1 233 0.20267 0.0938585
0 234 0.0708967 0.0885079
1 234 0.1941 0.0970689
0 235 0.131962 0.0885079
1 235 0.259451 0.0874378
0 236 0.15446 0.0885079
1 236 0.280877 0.0842274
0 237 0.199456 0.0885079
